DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF TRADES
23-Feb-26,EQ,916.5,925.65,915.25,911.85,924.1,923.6,921.17,"2,037.70",901,23270122,"21,43,56,60,334.00",228672
20-Feb-26,EQ,911,917.85,908.4,915.6,913.15,911.85,913.52,"2,037.70",901,22654907,"20,69,58,10,498.85",295931
19-Feb-26,EQ,929,929.2,912.45,924.7,914.3,915.6,918.86,"2,037.70",901,21209234,"19,48,82,60,011.45",297364
18-Feb-26,EQ,923.2,925.5,919.55,925.7,923.7,924.7,922.79,"2,037.70",901,12738702,"11,75,51,17,113.45",217327
17-Feb-26,EQ,923,928.1,918.6,925.8,926.45,925.7,925.32,"2,037.70",901,22599629,"20,91,18,78,079.60",337196
16-Feb-26,EQ,903.9,929.5,902.1,903.9,925.5,925.8,922.18,"2,037.70",901,18806989,"17,34,35,14,574.60",309517
13-Feb-26,EQ,913,928.2,901,920.6,903.9,903.9,912.26,"2,037.70",901,50188359,"45,78,48,29,506.25",361977
12-Feb-26,EQ,927,928.6,918.5,927.1,919.75,920.6,922.37,"2,037.70",905,33872203,"31,24,26,14,792.65",425115
11-Feb-26,EQ,931.25,936,925.3,932.4,926.8,927.1,928.91,"2,037.70",905,24869804,"23,10,17,39,084.15",368828
10-Feb-26,EQ,930,940.9,929.95,937.25,932.6,932.4,933.93,"2,037.70",905,31525385,"29,44,26,15,462.90",408707
09-Feb-26,EQ,945,950,935.35,941.1,938.8,937.25,938.27,"2,037.70",905,23947829,"22,46,95,73,398.45",274371
06-Feb-26,EQ,945,948.1,937.6,949.7,941,941.1,941.73,"2,037.70",905,18120272,"17,06,43,39,108.70",423858
05-Feb-26,EQ,956,956.05,946.7,953.1,949.7,949.7,950.22,"2,037.70",905,28103169,"26,70,43,14,508.90",372775
04-Feb-26,EQ,952.5,957.2,947.95,948.7,949,953.1,952.91,"2,037.70",905,24366770,"23,21,94,30,282.65",251099
03-Feb-26,EQ,983.75,994,945,928.1,947.65,948.7,954.45,"2,037.70",905,50336968,"48,04,39,34,757.85",490165
02-Feb-26,EQ,915,929.8,909.3,922.1,928.1,928.1,924.14,"2,037.70",905,28032106,"25,90,55,16,822.80",387552
01-Feb-26,EQ,932,939.65,912.65,929.25,918.05,922.1,929.2,"2,037.70",905,9856486,"9,15,86,89,990.90",146417
30-Jan-26,EQ,930,938.9,927.75,935.5,929,929.25,931.84,"2,037.70",905,29691233,"27,66,73,70,875.05",251637
29-Jan-26,EQ,930.1,939.3,924.35,932.7,935,935.5,933.24,"2,037.70",905,37175628,"34,69,37,41,736.20",420812
28-Jan-26,EQ,932.5,941.45,928.4,926.4,932.4,932.7,934.95,"2,037.70",905,35347138,"33,04,77,87,224.50",272519
27-Jan-26,EQ,906,931.2,905,916.1,928,926.4,917.11,"2,037.70",905,44753093,"41,04,34,45,636.30",483204
23-Jan-26,EQ,920,926.1,909.25,918.7,915.8,916.1,916.45,"2,037.70",909.25,30985247,"28,39,64,80,018.55",335766
22-Jan-26,EQ,928,928.3,913.2,920.35,921,918.7,918.56,"2,037.70",913.2,44444755,"40,82,53,01,054.65",572341
21-Jan-26,EQ,925,932.15,915.5,931.2,921,920.35,924.64,"2,037.70",915.5,32766854,"30,29,75,28,335.75",351406
20-Jan-26,EQ,929.3,934.5,919.6,927.9,930.5,931.2,930.12,"2,037.70",919.2,36022727,"33,50,55,44,795.30",357134
19-Jan-26,EQ,935.9,936.15,919.5,931.1,925.95,927.9,927.58,"2,037.70",919.2,38191942,"35,42,60,72,965.65",432335
16-Jan-26,EQ,922,935.95,919.2,925.45,930.55,931.1,929.18,"2,037.70",919.2,37780235,"35,10,44,52,366.25",361119
14-Jan-26,EQ,930,940.05,920.2,937.35,925,925.45,929.85,"2,037.70",920.2,36688248,"34,11,44,24,012.75",306076
13-Jan-26,EQ,947.7,947.7,932.6,936.95,934.75,937.35,940.27,"2,037.70",929.6,32042827,"30,12,90,21,006.45",348726
12-Jan-26,EQ,937.5,942,929.6,939,936.4,936.95,936.87,"2,037.70",929.6,21071666,"19,74,13,46,998.05",282222
09-Jan-26,EQ,945,950.6,933.3,946.7,939,939,940.91,"2,037.70",933.3,38183839,"35,92,75,36,459.55",324301
