DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF TRADES
23-Feb-26,EQ,478.95,485.8,471.5,472.9,479.85,479.8,480.8,500,306.3,5399290,"2,59,59,82,668.50",88458
20-Feb-26,EQ,476.3,482.9,471.05,474.5,474.5,472.9,476.62,500,306.3,5475490,"2,60,97,28,301.90",102195
19-Feb-26,EQ,489,490,470,488.8,476.5,474.5,479.68,500,306.3,5688844,"2,72,88,41,376.65",75909
18-Feb-26,EQ,490.6,498.75,485.2,489.75,487.5,488.8,494,500,306.3,8289178,"4,09,48,53,765.75",98070
17-Feb-26,EQ,482.45,491,479.3,479.05,489,489.75,484.8,500,306.3,6659240,"3,22,83,74,202.10",102604
16-Feb-26,EQ,483.9,490.9,476.9,483.75,479.3,479.05,483.47,500,306.3,5127469,"2,47,89,75,354.65",76494
13-Feb-26,EQ,494,498.9,481.55,498.15,484.15,483.75,486.54,500,306.3,7493260,"3,64,57,99,864.45",110832
12-Feb-26,EQ,491.05,500,483.65,487.2,496,498.15,494.47,500,306.3,14236647,"7,03,95,71,581.00",297336
11-Feb-26,EQ,488,497.8,479.3,472.55,487.5,487.2,487.28,497.8,306.3,19065592,"9,29,02,76,188.80",222346
10-Feb-26,EQ,470,476.9,467.8,466.8,471,472.55,471.41,485.4,306.3,4679330,"2,20,58,79,118.30",88632
09-Feb-26,EQ,460,472.95,456.8,458.25,467,466.8,467.25,485.4,306.3,9824389,"4,59,04,24,396.85",129104
06-Feb-26,EQ,458,461.45,447.6,455.9,458.4,458.25,452.99,485.4,306.3,9348251,"4,23,46,25,650.85",99961
05-Feb-26,EQ,461.6,465.75,454,458.45,455.9,455.9,457.59,485.4,306.3,4548779,"2,08,14,66,833.25",63818
04-Feb-26,EQ,464,472.9,456.65,457.95,459,458.45,463.58,485.4,306.3,8203293,"3,80,29,01,278.60",118806
03-Feb-26,EQ,470,479.7,451.25,443.55,458.75,457.95,462.64,485.4,306.3,14919486,"6,90,23,48,997.00",173508
02-Feb-26,EQ,441,446.9,431,441.3,444.55,443.55,438.88,485.4,306.3,12182905,"5,34,68,60,655.45",130204
01-Feb-26,EQ,458.5,465.5,435,458.5,441.8,441.3,453.12,485.4,306.3,5277707,"2,39,14,11,685.20",88699
30-Jan-26,EQ,461,485.4,450.55,470.2,457.5,458.5,462.26,485.4,306.3,15832762,"7,31,88,29,207.55",197605
29-Jan-26,EQ,473.75,475.5,459.75,467.95,470,470.2,466.69,475.5,306.3,11679596,"5,45,08,01,508.25",139147
28-Jan-26,EQ,450,470.25,448,443.9,465.65,467.95,459.9,470.25,306.3,12636077,"5,81,13,48,590.40",240355
27-Jan-26,EQ,450,454.75,438.5,449.2,444.8,443.9,446.74,456.4,306.3,12074561,"5,39,41,95,579.65",136543
23-Jan-26,EQ,446.95,456.4,439.35,444.9,448.7,449.2,449.09,456.4,306.3,11557765,"5,19,05,02,211.50",155112
22-Jan-26,EQ,436.1,453.8,435.85,434.85,443.35,444.9,444.35,453.8,306.3,13509687,"6,00,30,65,828.10",159172
21-Jan-26,EQ,431.35,449.55,421.1,432.45,436.1,434.85,434.21,451.2,306.3,13056494,"5,66,92,25,307.90",174799
20-Jan-26,EQ,441.4,446.4,426.55,441.4,428.9,432.45,440.17,451.2,306.3,9845662,"4,33,37,71,939.30",150594
19-Jan-26,EQ,442,451.2,434.5,438.5,441.75,441.4,440.52,451.2,306.3,11049623,"4,86,75,27,170.20",137479
16-Jan-26,EQ,431.95,446.65,427.5,433.75,439,438.5,440.45,448,306.3,12641260,"5,56,78,10,596.60",154945
14-Jan-26,EQ,426.05,436,422.65,424.15,433.05,433.75,432.32,448,306.3,9765782,"4,22,19,78,272.65",118383
13-Jan-26,EQ,425.3,432.5,422.15,424.9,423.9,424.15,425.11,448,306.3,7174148,"3,04,97,86,556.45",89547
12-Jan-26,EQ,430,430.05,414.7,431.55,425.3,424.9,421.83,448,306.3,10323536,"4,35,47,87,584.00",156724
09-Jan-26,EQ,431,446.15,428.2,435.2,430.95,431.55,438.16,448,306.3,15300641,"6,70,41,44,138.55",170912
08-Jan-26,EQ,436.85,441.5,430.5,435.75,432.9,435.2,436.44,448,306.3,11209566,"4,89,23,57,439.15",196238
07-Jan-26,EQ,435,440.65,430.15,432.65,436,435.75,435.67,448,306.3,13125259,"5,71,82,78,407.15",151853
06-Jan-26,EQ,429.95,437.45,427.2,426.45,432.7,432.65,431.5,448,306.3,8271070,"3,56,89,55,092.30",111048
05-Jan-26,EQ,433.85,437.8,422.5,442.25,427,426.45,429.29,448,306.3,15748095,"6,76,05,43,190.90",213231
02-Jan-26,EQ,433.1,448,432.75,427.75,442.25,442.25,440.66,448,306.3,15267178,"6,72,75,81,716.35",306582
01-Jan-26,EQ,419.2,430,417.55,415.5,426.45,427.75,425.64,432.3,306.3,10096081,"4,29,72,91,585.30",158871
31-Dec-25,EQ,411.85,418,409.7,409.65,415.55,415.5,414.36,432.3,306.3,6269208,"2,59,76,82,728.65",81800
30-Dec-25,EQ,409.95,415.5,406,409.5,410.15,409.65,409.98,432.3,306.3,6416425,"2,63,05,98,736.00",98166
29-Dec-25,EQ,410,418,406.55,408.65,409.6,409.5,410.07,432.3,306.3,7173718,"2,94,17,59,535.35",94029
26-Dec-25,EQ,410,416.5,403.4,408.75,410,408.65,410.37,432.3,306.3,9030231,"3,70,57,69,952.55",114144
24-Dec-25,EQ,427.15,432.3,408,426.1,410,408.75,416.28,432.3,306.3,19626872,"8,17,03,20,816.65",229029
23-Dec-25,EQ,412.85,428.2,412.5,411.7,425.5,426.1,422.41,428.2,306.3,13800012,"5,82,92,82,670.30",194339
22-Dec-25,EQ,396.35,414,394.35,394.35,411.55,411.7,408.64,414,306.3,12081781,"4,93,71,02,116.90",139402
19-Dec-25,EQ,402.05,403.3,385.25,401.05,392.7,394.35,396.31,406.8,306.3,22075008,"8,74,86,26,614.75",227745
18-Dec-25,EQ,391,406.8,390.2,386.9,399.95,401.05,400.19,406.8,306.3,18688147,"7,47,87,80,124.75",267146
17-Dec-25,EQ,389,397.5,383.55,387.35,386.1,386.9,387.63,397.5,306.3,10044939,"3,89,37,53,776.75",114783
16-Dec-25,EQ,377.95,390,374.5,377.95,387.55,387.35,383.57,390,306.3,10329070,"3,96,19,46,427.15",165544
15-Dec-25,EQ,372.5,379.15,365.2,373.45,376.95,377.95,373.57,382.95,306.3,7033258,"2,62,74,22,256.00",121798
12-Dec-25,EQ,371.5,379,366.35,372.8,370.95,373.45,372.59,382.95,306.3,12391574,"4,61,69,63,386.15",144798
11-Dec-25,EQ,378.2,379.9,370.15,377.8,371.45,372.8,375.26,382.95,306.3,9667951,"3,62,80,13,939.15",108283
10-Dec-25,EQ,378.05,382.95,368.35,373.1,378,377.8,375.62,382.95,306.3,16089720,"6,04,35,53,501.20",190294
09-Dec-25,EQ,357.1,381.95,353.5,360.35,372.95,373.1,370.39,381.95,306.3,16119717,"5,97,05,72,438.90",273830
08-Dec-25,EQ,358,364.2,357.1,359.55,360.1,360.35,360.25,368,306.3,6936051,"2,49,87,38,040.00",125763
05-Dec-25,EQ,355,361.45,349.35,356.45,358.55,359.55,356.65,368,306.3,6652749,"2,37,26,71,448.65",109379
04-Dec-25,EQ,357.75,361.5,354.15,360.4,356.5,356.45,358.11,368,306.3,7199260,"2,57,81,16,771.05",124467
03-Dec-25,EQ,354,362.25,346.5,354.8,360.4,360.4,356.9,368,306.3,11412231,"4,07,30,28,413.10",156299
02-Dec-25,EQ,360,368,352.15,359.05,354.2,354.8,357.79,368,306.3,8297661,"2,96,88,14,806.70",113391
01-Dec-25,EQ,352.45,365,351.15,352,358,359.05,358.71,365,306.3,12843866,"4,60,71,70,035.85",290906
28-Nov-25,EQ,340.55,359.9,331.1,343.9,352,352,350.84,359.9,306.3,18549631,"6,50,79,38,891.60",210931
27-Nov-25,EQ,322.5,347.7,322,324.05,343.7,343.9,340.51,347.7,306.3,22672738,"7,72,03,67,544.35",231466
26-Nov-25,EQ,320,325.5,317.75,317.85,323.7,324.05,322.43,345,306.3,9984230,"3,21,92,41,564.95",115860
